Start Time	End Time	Transportation Mode
2011/03/05 00:36:47	2011/03/05 01:26:23	subway
2011/03/05 01:26:23	2011/03/05 01:38:39	bus
2011/03/05 04:20:09	2011/03/05 04:34:15	bus
2011/03/05 04:34:15	2011/03/05 05:02:31	subway
2011/03/05 07:09:33	2011/03/05 07:51:59	subway
2011/03/05 09:10:00	2011/03/05 09:35:23	subway
2011/03/05 12:09:18	2011/03/05 13:20:23	subway
2011/03/12 08:57:49	2011/03/12 09:23:08	subway
2011/03/12 10:10:30	2011/03/12 10:38:37	subway
2011/03/12 10:38:38	2011/03/12 13:28:25	subway
2011/03/12 13:28:26	2011/03/12 14:50:00	subway
2011/03/19 00:34:47	2011/03/19 01:07:54	subway
2011/03/19 01:14:58	2011/03/19 01:56:53	subway
2011/03/19 06:43:50	2011/03/19 06:52:14	bus
2011/03/19 08:00:23	2011/03/19 08:16:05	subway
2011/03/20 05:28:29	2011/03/20 06:00:05	subway
2011/03/20 06:07:00	2011/03/20 06:22:18	subway
2011/03/20 14:26:23	2011/03/20 14:26:47	subway
2011/03/26 00:53:30	2011/03/26 00:59:01	subway
2011/03/26 01:04:08	2011/03/26 01:19:38	subway
2011/03/26 01:22:33	2011/03/26 02:01:35	subway
2011/03/26 09:34:56	2011/03/26 10:02:43	bus
2011/03/26 12:08:03	2011/03/26 12:34:56	subway
2011/03/26 14:44:16	2011/03/26 14:48:43	subway
2011/03/26 14:48:44	2011/03/26 14:57:22	subway
2011/04/05 01:25:57	2011/04/05 01:40:48	bus
2011/04/05 09:40:03	2011/04/05 09:53:55	bus
2011/04/05 09:57:02	2011/04/05 10:42:29	subway
2011/04/06 01:49:41	2011/04/06 01:59:38	bus
2011/04/07 13:00:24	2011/04/07 13:08:01	bus
2011/04/08 03:15:41	2011/04/08 03:26:55	bus
2011/04/13 02:38:44	2011/04/13 02:51:07	bus
2011/04/15 01:23:27	2011/04/15 01:45:57	bus
2011/04/15 11:47:40	2011/04/15 12:08:22	subway
2011/04/15 12:45:23	2011/04/15 12:56:34	subway
2011/04/15 23:18:19	2011/04/15 23:24:20	subway
2011/04/16 00:00:01	2011/04/16 01:13:02	train
2011/04/16 10:40:01	2011/04/16 11:30:34	train
2011/04/19 02:58:01	2011/04/19 03:12:44	bus
2011/04/23 06:51:13	2011/04/23 07:26:48	subway
2011/04/23 10:51:45	2011/04/23 11:31:38	subway
2011/04/23 13:13:54	2011/04/23 13:48:38	bus
2011/04/23 14:23:59	2011/04/23 15:11:20	subway
2011/04/30 11:38:26	2011/04/30 11:46:27	bus
2011/04/30 13:05:32	2011/04/30 13:40:22	bus
2011/04/30 14:02:28	2011/04/30 14:05:36	subway
2011/05/06 23:47:25	2011/05/07 00:31:30	subway
2011/05/07 00:55:22	2011/05/07 01:25:10	train
2011/05/07 04:46:28	2011/05/07 05:14:56	bus
2011/05/07 08:58:30	2011/05/07 09:49:37	bus
2011/05/07 09:58:11	2011/05/07 10:06:29	bus
2011/05/07 11:28:34	2011/05/07 11:38:02	car
2011/05/07 12:39:46	2011/05/07 13:11:45	train
