Start Time	End Time	Transportation Mode
2011/08/30 11:47:29	2011/08/30 12:01:06	subway
2011/09/02 11:01:02	2011/09/02 11:24:52	subway
2011/09/03 04:35:33	2011/09/03 04:47:21	bus
2011/09/03 06:23:45	2011/09/03 06:46:56	subway
2011/09/08 10:22:15	2011/09/08 10:35:03	subway
2011/09/09 11:44:57	2011/09/09 11:51:20	bus
2011/09/10 05:21:32	2011/09/10 05:52:45	subway
2011/09/10 08:03:58	2011/09/10 08:18:53	bus
2011/09/10 08:26:22	2011/09/10 09:00:33	bus
2011/09/11 11:20:46	2011/09/11 11:23:25	subway
2011/09/17 10:28:25	2011/09/17 10:37:00	bus
2011/09/18 08:28:26	2011/09/18 08:41:13	bus
2011/09/23 10:30:03	2011/09/23 10:44:58	bus
2011/09/24 05:38:19	2011/09/24 05:48:26	bus
2011/09/24 06:27:40	2011/09/24 06:36:43	bus
2011/09/25 07:13:05	2011/09/25 07:42:52	subway
2011/09/25 11:24:14	2011/09/25 11:47:18	subway
2011/09/26 13:02:10	2011/09/26 13:06:41	bus
2011/09/27 12:08:51	2011/09/27 12:17:26	bus
2011/09/28 00:12:27	2011/09/28 00:24:18	bus
2011/09/28 10:20:28	2011/09/28 10:49:47	bus
2011/09/28 11:26:25	2011/09/28 11:32:32	bus
2011/10/08 10:45:18	2011/10/08 11:05:03	subway
2011/10/09 00:54:21	2011/10/09 01:04:28	bus
2011/10/09 11:29:36	2011/10/09 11:37:27	bus
2011/10/10 10:55:47	2011/10/10 11:12:34	bus
2011/10/10 14:06:36	2011/10/10 14:08:59	subway
2011/10/11 00:55:51	2011/10/11 01:09:34	bus
2011/10/11 11:43:23	2011/10/11 11:55:14	bus
2011/10/12 11:53:01	2011/10/12 12:02:52	bus
2011/10/13 01:10:41	2011/10/13 01:24:48	bus
2011/10/22 05:05:49	2011/10/22 05:50:36	bus
2011/10/22 08:05:01	2011/10/22 08:47:40	bus
2011/10/23 00:44:02	2011/10/23 02:26:43	bus
2011/10/23 04:00:43	2011/10/23 04:38:30	bus
