Start Time	End Time	Transportation Mode
2007/04/12 10:21:16	2007/04/12 14:56:56	bike
2007/04/13 00:53:06	2007/04/13 01:06:15	bike
2007/04/13 05:19:33	2007/04/13 05:27:34	taxi
2007/04/13 07:01:26	2007/04/13 07:18:02	taxi
2007/04/13 14:48:55	2007/04/13 15:05:58	taxi
2007/04/14 02:48:15	2007/04/14 03:06:59	bus
2007/04/16 13:04:44	2007/04/16 13:19:15	bus
2007/04/17 01:43:30	2007/04/17 02:00:01	bus
2007/04/18 02:09:57	2007/04/18 02:31:34	bus
2007/04/19 15:09:11	2007/04/19 15:23:44	taxi
2007/04/24 12:57:12	2007/04/24 13:15:30	bus
2007/04/25 02:16:54	2007/04/25 02:40:45	bus
2007/04/27 02:19:02	2007/04/27 02:42:54	bus
2007/04/27 14:00:36	2007/04/27 14:18:31	bus
2007/04/28 13:40:38	2007/04/28 13:47:39	bus
2007/08/09 10:22:03	2007/08/09 14:59:30	bike
