Start Time	End Time	Transportation Mode
2007/10/02 02:17:25	2007/10/02 08:26:11	bus
2007/10/05 05:27:24	2007/10/05 06:04:08	bus
2007/10/05 09:24:57	2007/10/05 09:57:57	bus
2007/10/05 15:01:48	2007/10/05 15:59:59	car
2007/10/05 16:00:00	2007/10/05 17:33:26	car
2007/10/05 20:44:25	2007/10/06 09:35:30	bike
2007/10/06 05:13:53	2007/10/06 05:30:52	car
2007/10/06 09:49:27	2007/10/06 10:10:27	car
2007/10/07 06:12:59	2007/10/07 06:50:46	bus
2007/10/07 08:06:50	2007/10/07 08:16:27	bus
2007/10/08 08:04:55	2007/10/08 08:41:42	bus
2007/10/08 08:37:37	2007/10/08 08:57:59	taxi
2007/10/08 12:10:42	2007/10/08 12:27:18	car
2007/10/09 06:53:04	2007/10/09 07:01:26	bus
2007/10/09 08:59:23	2007/10/09 10:33:47	car
2007/10/10 06:56:54	2007/10/10 07:35:28	bus
2007/10/10 10:04:07	2007/10/10 11:23:27	bus
2007/10/10 11:31:50	2007/10/10 11:41:50	taxi
