Start Time	End Time	Transportation Mode
2008/04/02 09:58:20	2008/04/02 10:28:21	bus
2008/04/04 00:59:00	2008/04/04 01:52:00	bike
2008/04/04 03:35:09	2008/04/04 04:40:00	bike
2008/04/05 15:09:00	2008/04/05 15:14:00	taxi
2008/04/14 08:43:14	2008/04/14 09:14:19	bus
2008/04/14 12:55:20	2008/04/14 13:21:31	bus
2008/04/22 11:22:12	2008/04/22 11:53:10	bus
2008/04/22 14:28:00	2008/04/22 14:40:00	taxi
2008/04/26 11:02:44	2008/04/26 11:14:13	bus
2008/04/26 13:34:12	2008/04/26 14:09:19	bus
2008/04/27 06:26:27	2008/04/27 06:40:32	bus
2008/04/30 23:55:34	2008/05/01 00:14:21	bike
2008/05/01 00:18:07	2008/05/01 00:33:25	train
2008/05/01 00:57:00	2008/05/01 07:15:55	train
2008/05/01 07:15:55	2008/05/01 08:05:45	bus
2008/05/02 00:44:10	2008/05/02 01:22:26	bus
2008/05/02 02:01:19	2008/05/02 04:47:00	train
2008/05/02 05:05:10	2008/05/02 05:31:58	bus
2008/05/02 06:29:10	2008/05/02 06:42:26	bus
2008/05/02 13:06:39	2008/05/02 13:19:23	bus
2008/05/02 22:17:17	2008/05/02 22:30:59	bus
2008/05/02 22:57:39	2008/05/03 05:52:39	train
2008/05/03 06:22:26	2008/05/03 07:10:15	train
2008/05/03 08:11:34	2008/05/03 08:46:14	taxi
2008/05/10 01:29:44	2008/05/10 01:29:58	bus
2008/05/10 04:45:00	2008/05/10 05:45:07	bus
2008/05/10 06:16:50	2008/05/10 06:49:58	car
2008/05/11 05:43:20	2008/05/11 07:53:37	bus
2008/05/16 10:23:35	2008/05/16 10:39:26	bike
2008/05/16 10:42:48	2008/05/16 11:18:18	bike
2008/05/16 13:07:31	2008/05/16 13:59:46	bike
2008/05/16 14:02:50	2008/05/16 14:11:34	bike
2008/05/17 01:47:05	2008/05/17 01:56:08	bike
2008/05/17 02:10:18	2008/05/17 02:14:19	bike
2008/05/17 02:24:19	2008/05/17 02:47:41	bus
2008/05/17 02:55:19	2008/05/17 02:59:56	bus
2008/05/17 04:24:06	2008/05/17 04:40:05	bus
2008/05/18 06:05:11	2008/05/18 06:19:54	bus
2008/05/18 12:24:15	2008/05/18 12:37:36	bus
