Start Time	End Time	Transportation Mode
2008/05/09 10:08:06	2008/05/09 10:31:01	bike
2008/05/10 00:14:34	2008/05/10 00:43:44	bike
2008/05/10 02:50:52	2008/05/10 03:05:51	bike
2008/05/10 03:05:53	2008/05/10 03:43:14	bus
2008/05/10 07:11:34	2008/05/10 07:44:04	subway
2008/05/10 13:36:34	2008/05/10 14:00:01	bike
2008/05/11 02:50:52	2008/05/11 03:03:09	bike
2008/05/11 03:03:11	2008/05/11 03:48:34	bus
2008/05/22 15:08:59	2008/05/22 15:40:12	bike
2008/05/23 01:40:00	2008/05/23 02:40:00	bus
2008/05/23 05:25:02	2008/05/23 05:50:00	bus
2008/05/23 08:38:00	2008/05/23 09:47:00	bus
2008/05/23 12:13:00	2008/05/23 12:50:00	bus
2008/05/24 02:14:00	2008/05/24 02:26:00	bike
2008/05/24 03:26:00	2008/05/24 04:37:00	bus
2008/05/30 00:16:35	2008/05/30 00:40:53	bike
2008/05/30 06:50:00	2008/05/30 07:41:00	subway
2008/05/30 14:24:23	2008/05/30 15:04:14	bus
2008/05/31 13:17:02	2008/05/31 13:21:40	subway
2008/05/31 16:05:09	2008/05/31 16:29:51	bus
2008/05/31 16:58:13	2008/05/31 17:21:54	bus
2008/06/02 16:49:05	2008/06/02 16:51:30	subway
2008/06/02 16:51:32	2008/06/02 17:22:40	bike
2008/06/04 16:20:53	2008/06/04 16:26:31	car
2008/06/05 05:36:30	2008/06/05 05:44:52	car
2008/06/07 09:48:30	2008/06/07 10:01:23	bus
2008/06/07 13:07:12	2008/06/07 13:27:45	bus
2008/06/07 13:27:47	2008/06/07 15:43:01	bike
2008/06/08 01:16:16	2008/06/08 01:43:57	bike
2008/06/19 23:52:46	2008/06/20 00:23:43	bike
2008/06/20 00:23:43	2008/06/20 00:48:41	bus
2008/06/21 06:48:12	2008/06/21 06:57:47	subway
2008/06/21 14:01:06	2008/06/21 14:09:21	subway
2008/06/21 14:16:37	2008/06/21 14:26:36	bike
2008/06/21 16:38:35	2008/06/21 16:44:55	subway
2008/06/22 04:29:09	2008/06/22 04:38:35	bike
2008/06/22 06:48:33	2008/06/22 06:54:22	subway
2008/07/21 09:33:04	2008/07/21 10:24:53	bike
2008/07/22 00:43:29	2008/07/22 00:55:28	bike
2008/07/24 09:19:54	2008/07/24 09:28:08	bike
2008/07/24 09:28:08	2008/07/24 13:34:38	bus
2008/07/25 09:16:04	2008/07/25 11:59:15	bus
2008/07/28 08:33:04	2008/07/28 08:50:27	bike
2008/07/30 08:44:06	2008/07/30 09:17:21	bike
2008/07/30 09:17:21	2008/07/30 09:54:10	bus
