Start Time	End Time	Transportation Mode
2007/05/23 13:48:49	2007/05/23 14:05:25	bike
2007/05/24 14:49:09	2007/05/24 14:54:37	bike
2007/05/24 14:49:09	2007/05/24 15:10:34	bike
2007/05/24 15:14:35	2007/05/24 15:35:50	bike
2007/05/26 11:16:20	2007/05/26 11:28:27	bike
2007/05/29 01:14:40	2007/05/29 01:22:03	bike
2007/05/30 12:57:27	2007/05/30 13:10:55	bus
2007/05/31 02:12:44	2007/05/31 02:39:22	bike
2007/06/04 01:52:39	2007/06/04 02:12:41	bike
2007/06/08 01:16:10	2007/06/08 01:36:47	bike
2007/06/08 01:55:18	2007/06/08 02:06:30	bike
2007/06/12 01:27:59	2007/06/12 01:34:34	bike
2007/06/12 10:48:19	2007/06/12 11:03:49	bike
2007/06/12 11:16:51	2007/06/12 11:34:43	bike
2007/06/12 12:31:21	2007/06/12 12:43:49	bike
2007/06/20 23:46:28	2007/06/21 00:00:15	bike
2007/06/26 12:18:35	2007/06/26 12:32:33	bike
2007/06/27 00:07:53	2007/06/27 00:27:28	bike
