Start Time	End Time	Transportation Mode
2007/04/12 10:21:16	2007/04/12 14:56:56	bike
2007/04/13 00:53:06	2007/04/13 01:06:15	bike
2007/04/13 05:19:33	2007/04/13 05:27:34	taxi
2007/04/13 07:01:26	2007/04/13 07:18:02	taxi
2007/04/30 11:50:00	2007/04/30 12:01:00	taxi
2007/05/01 10:10:00	2007/05/01 10:36:00	bus
2007/05/01 15:30:00	2007/05/01 15:55:00	taxi
2007/05/02 05:20:00	2007/05/02 05:49:00	car
2007/05/02 07:00:00	2007/05/02 08:30:00	car
2007/05/02 11:44:00	2007/05/02 12:05:00	taxi
2007/05/03 13:50:00	2007/05/03 14:12:00	bus
2007/05/03 14:39:00	2007/05/03 15:00:00	taxi
2007/05/05 08:25:00	2007/05/05 08:55:00	bus
2007/05/05 13:30:00	2007/05/05 14:05:00	car
2007/05/07 05:41:00	2007/05/07 06:00:00	bus
2007/05/07 11:59:00	2007/05/07 12:08:00	bus
2007/05/07 22:05:00	2007/05/07 22:20:00	taxi
2007/05/20 06:42:00	2007/05/20 07:38:00	bike
2007/05/20 14:09:00	2007/05/20 14:24:00	bike
2007/05/21 01:07:00	2007/05/21 01:23:00	bike
2007/05/21 14:21:00	2007/05/21 14:36:00	bike
2007/05/22 00:52:00	2007/05/22 01:10:00	bike
