Start Time	End Time	Transportation Mode
2007/05/25 23:24:14	2007/05/26 11:34:46	taxi
2007/05/26 10:21:44	2007/05/26 10:49:13	taxi
2007/05/26 11:34:46	2007/05/26 11:37:09	bike
2007/05/26 13:33:08	2007/05/26 14:07:03	taxi
2007/05/29 10:15:49	2007/05/29 11:14:22	taxi
2007/05/31 09:05:58	2007/05/31 09:28:40	bus
2007/05/31 13:17:30	2007/05/31 13:37:46	taxi
2007/05/31 15:03:25	2007/05/31 15:06:45	train
2007/05/31 15:27:38	2007/05/31 15:28:33	taxi
2007/06/02 09:48:13	2007/06/02 10:16:55	bus
2007/06/02 11:28:26	2007/06/02 12:09:50	taxi
2007/06/04 10:42:30	2007/06/04 10:53:50	train
2007/06/04 13:35:33	2007/06/04 13:43:55	train
