Start Time	End Time	Transportation Mode
2007/04/12 10:21:16	2007/04/12 14:56:56	bike
2007/04/13 00:53:06	2007/04/13 01:06:15	bus
2008/07/31 12:44:25	2008/07/31 13:10:51	subway
2008/08/01 05:10:36	2008/08/01 06:45:34	taxi
2008/08/17 03:56:36	2008/08/17 04:34:56	car
2008/08/17 07:42:29	2008/08/17 09:46:05	car
2009/03/10 13:19:19	2009/03/10 13:45:43	subway
2009/03/11 00:59:43	2009/03/11 13:15:58	subway
2009/03/11 01:12:03	2009/03/11 01:42:53	subway
2009/03/11 10:55:46	2009/03/11 11:20:22	subway
2009/03/12 01:17:37	2009/03/12 01:45:31	subway
2009/03/16 14:08:03	2009/03/16 14:34:24	subway
2009/03/17 00:46:34	2009/03/17 01:12:28	subway
2009/03/18 14:07:58	2009/03/18 14:34:18	subway
2009/03/19 00:38:28	2009/03/19 01:06:02	subway
2009/03/19 13:50:23	2009/03/19 14:17:00	subway
2009/03/20 01:29:41	2009/03/20 01:58:01	subway
2009/03/20 12:42:04	2009/03/20 13:04:01	subway
2009/03/22 14:27:35	2009/03/22 14:53:51	subway
2009/03/23 01:02:39	2009/03/23 01:30:23	subway
2009/03/23 13:02:02	2009/03/23 13:33:30	subway
2009/03/24 00:44:25	2009/03/24 01:13:39	subway
2009/03/25 13:01:11	2009/03/25 13:11:44	subway
2009/03/27 13:19:20	2009/03/27 13:45:45	subway
2009/03/28 07:29:46	2009/03/28 07:57:46	subway
2009/03/30 00:41:07	2009/03/30 01:09:17	subway
2009/03/30 12:38:20	2009/03/30 13:15:09	subway
2009/03/31 00:26:29	2009/03/31 00:54:57	subway
2009/04/01 13:04:05	2009/04/01 13:10:56	subway
2009/04/02 13:37:31	2009/04/02 14:09:31	subway
2009/04/03 13:57:22	2009/04/03 14:16:55	subway
2009/04/04 02:41:05	2009/04/04 03:03:49	subway
2009/04/04 03:22:29	2009/04/04 03:30:50	car
2009/04/04 05:03:51	2009/04/04 05:40:44	car
2009/04/08 00:50:59	2009/04/08 01:18:36	subway
2009/04/09 00:53:28	2009/04/09 01:18:31	subway
2009/04/11 05:09:30	2009/04/11 05:50:11	subway
2009/04/11 11:56:05	2009/04/11 12:32:17	subway
2009/04/13 12:22:25	2009/04/13 13:00:02	subway
2009/04/14 00:32:38	2009/04/14 01:01:44	subway
2009/04/16 13:38:54	2009/04/16 14:00:28	subway
2009/04/17 00:20:48	2009/04/17 00:48:18	subway
2009/04/17 13:19:43	2009/04/17 13:46:14	subway
2009/04/18 12:46:35	2009/04/18 13:18:17	subway
2009/04/19 05:49:50	2009/04/19 06:17:40	subway
