Start Time	End Time	Transportation Mode
2008/08/20 12:45:05	2008/08/20 13:00:25	subway
2008/08/20 13:07:25	2008/08/20 13:12:59	bus
2008/08/21 08:24:16	2008/08/21 08:33:46	bus
2008/08/21 09:02:08	2008/08/21 09:13:06	bus
2008/08/21 09:16:00	2008/08/21 09:52:06	bus
2008/08/21 10:01:54	2008/08/21 10:08:54	bus
2008/08/21 10:25:52	2008/08/21 11:19:32	bus
2008/08/21 10:25:52	2008/08/21 11:19:34	bus
2008/08/21 12:17:37	2008/08/21 12:22:37	bike
2008/08/22 03:47:04	2008/08/22 03:56:32	bus
2008/08/22 04:04:02	2008/08/22 04:19:28	subway
2008/08/22 06:05:50	2008/08/22 07:13:04	bus
2008/08/23 01:40:41	2008/08/23 01:47:25	bus
2008/08/23 01:50:33	2008/08/23 02:25:07	bus
2008/08/23 02:35:01	2008/08/23 03:09:33	bike
2008/08/23 12:18:59	2008/08/23 12:29:21	bike
2008/08/23 12:32:21	2008/08/23 12:45:09	subway
2008/08/23 12:49:33	2008/08/23 12:54:33	bus
2008/08/24 01:55:06	2008/08/24 02:02:08	bus
2008/08/24 02:09:10	2008/08/24 02:43:00	bus
2008/08/24 11:49:59	2008/08/24 12:05:59	bike
2008/08/24 12:10:01	2008/08/24 12:22:45	subway
2008/08/24 12:30:27	2008/08/24 12:35:59	bus
2008/08/28 02:16:14	2008/08/28 02:22:25	bus
2008/08/28 02:28:16	2008/08/28 03:28:36	bus
2008/08/28 05:25:03	2008/08/28 05:58:51	bus
2008/08/28 12:51:19	2008/08/28 13:11:37	bike
2008/08/28 13:16:29	2008/08/28 13:28:57	subway
2008/08/28 13:28:57	2008/08/28 13:41:45	bus
2008/08/30 01:48:53	2008/08/30 01:54:51	bus
2008/08/30 02:07:31	2008/08/30 02:53:47	bus
2008/08/30 03:01:49	2008/08/30 03:15:43	bike
2008/08/30 12:02:06	2008/08/30 12:10:30	bike
2008/08/31 09:23:16	2008/08/31 09:30:00	bus
2008/08/31 10:00:40	2008/08/31 10:06:42	bus
2008/09/04 09:00:31	2008/09/04 09:07:51	bus
2008/09/04 09:14:39	2008/09/04 10:02:59	bus
2008/09/04 13:28:15	2008/09/04 13:41:01	subway
2008/09/04 13:47:23	2008/09/04 13:52:59	bus
2008/09/05 01:21:17	2008/09/05 01:31:55	bus
2008/09/05 01:41:03	2008/09/05 01:54:29	subway
2008/09/05 09:59:10	2008/09/05 12:23:05	bike
2008/09/05 12:23:05	2008/09/05 12:35:19	subway
2008/09/05 12:45:11	2008/09/05 12:51:17	bus
2008/09/06 04:36:43	2008/09/06 04:51:29	bus
2008/09/06 04:52:59	2008/09/06 05:38:31	bus
2008/09/06 11:43:59	2008/09/06 12:26:31	bike
2008/09/06 12:26:31	2008/09/06 12:42:43	subway
2008/09/06 12:42:43	2008/09/06 12:52:05	bus
2008/09/07 09:38:25	2008/09/07 10:18:21	bus
2008/09/08 04:45:21	2008/09/08 04:57:23	bus
2008/09/08 05:07:45	2008/09/08 05:22:37	subway
2008/09/08 10:34:28	2008/09/08 10:44:39	bike
2008/09/08 11:24:42	2008/09/08 12:02:23	bike
2008/09/08 12:02:23	2008/09/08 12:15:29	subway
2008/09/08 12:17:41	2008/09/08 12:23:05	bus
2008/09/09 01:19:28	2008/09/09 01:29:02	bus
2008/09/09 01:34:54	2008/09/09 01:50:30	subway
2008/09/12 01:33:57	2008/09/12 01:44:39	bus
2008/09/12 01:53:01	2008/09/12 02:06:51	subway
2008/09/12 13:28:06	2008/09/12 13:34:40	bus
2008/09/13 03:33:14	2008/09/13 03:45:46	bus
2008/09/13 03:55:48	2008/09/13 04:09:22	subway
2008/09/13 06:10:32	2008/09/13 06:17:32	bike
2008/09/13 11:14:37	2008/09/13 11:19:01	bike
2008/09/13 11:33:19	2008/09/13 11:41:35	bike
2008/09/13 11:51:04	2008/09/13 12:03:04	subway
2008/09/13 12:13:19	2008/09/13 12:18:41	bus
2008/09/14 08:08:24	2008/09/14 08:15:04	bus
2008/09/14 08:22:08	2008/09/14 08:40:46	subway
2008/09/14 09:53:55	2008/09/14 10:03:27	bike
2008/09/14 12:17:38	2008/09/14 12:28:28	bike
2008/09/14 12:44:32	2008/09/14 12:57:08	subway
2008/09/15 06:54:19	2008/09/15 07:10:03	bus
2008/09/15 09:42:00	2008/09/15 10:18:58	bus
2008/09/15 11:34:25	2008/09/15 12:06:36	bus
2008/09/15 12:06:36	2008/09/15 12:18:48	subway
2008/10/01 02:02:53	2008/10/01 02:18:51	bike
2008/10/01 02:18:51	2008/10/01 03:03:55	bus
2008/10/01 03:16:31	2008/10/01 03:22:40	bus
2008/10/01 05:07:12	2008/10/01 05:14:02	bus
2008/10/01 05:22:58	2008/10/01 06:11:00	bus
2008/10/02 01:54:03	2008/10/02 02:06:39	bus
2008/10/02 02:14:45	2008/10/02 02:27:59	subway
2008/10/02 02:33:27	2008/10/02 02:42:51	bike
2008/10/02 04:02:52	2008/10/02 04:11:02	bike
2008/10/02 07:51:55	2008/10/02 08:01:05	bike
2008/10/02 10:20:06	2008/10/02 10:29:46	bike
2008/10/02 10:36:48	2008/10/02 10:48:58	subway
2008/10/02 10:54:28	2008/10/02 11:04:22	bus
2008/10/03 02:29:45	2008/10/03 02:41:01	bus
2008/10/03 02:47:57	2008/10/03 03:04:23	subway
2008/10/12 08:19:44	2008/10/12 10:54:15	bike
2008/10/12 08:21:18	2008/10/12 08:45:30	bike
2008/10/12 11:09:21	2008/10/12 11:22:05	subway
2008/10/12 11:48:27	2008/10/12 11:56:33	bus
2008/10/12 11:48:29	2008/10/12 11:56:33	bus
2008/10/14 01:24:35	2008/10/14 01:36:29	bus
2008/10/14 01:46:23	2008/10/14 02:00:37	subway
2008/10/14 02:00:37	2008/10/14 02:09:21	bike
2008/10/14 11:30:20	2008/10/14 11:49:16	bike
2008/10/14 11:51:34	2008/10/14 12:05:12	subway
2008/10/14 12:08:08	2008/10/14 12:14:42	bus
2008/10/15 01:33:10	2008/10/15 01:42:12	bus
2008/10/15 01:46:26	2008/10/15 02:00:44	subway
2008/10/15 02:00:44	2008/10/15 02:13:24	bike
2008/10/15 12:24:35	2008/10/15 13:07:28	bus
2008/10/19 01:57:08	2008/10/19 03:37:59	bus
2008/10/19 10:43:41	2008/10/19 10:57:15	subway
2008/10/19 11:02:01	2008/10/19 11:12:09	bus
2008/10/21 01:26:32	2008/10/21 01:36:56	bus
2008/10/21 01:42:58	2008/10/21 02:00:22	subway
2008/10/21 11:09:15	2008/10/21 11:24:06	subway
2008/10/21 11:30:48	2008/10/21 11:37:50	bus
2008/10/26 01:48:17	2008/10/26 01:55:43	bus
