Start Time	End Time	Transportation Mode
2007/06/26 11:32:29	2007/06/26 11:40:29	bus
2007/08/09 14:30:44	2007/08/09 14:39:34	bus
2007/08/10 01:39:58	2007/08/10 01:54:48	bus
2007/08/14 00:40:51	2007/08/14 00:52:53	bus
2007/08/14 00:58:20	2007/08/14 01:21:08	train
2007/08/21 13:23:52	2007/08/21 13:39:25	bus
2007/08/22 02:02:55	2007/08/22 02:13:46	bus
2007/08/22 02:17:13	2007/08/22 02:23:47	train
2007/11/05 13:12:08	2007/11/05 13:24:51	bus
2007/11/06 00:02:34	2007/11/06 00:08:41	bus
2007/11/06 14:25:54	2007/11/06 14:35:59	bus
2007/11/08 12:47:08	2007/11/08 12:55:23	bus
2007/11/09 06:01:43	2007/11/09 06:13:37	bus
2007/11/12 14:22:03	2007/11/12 14:29:40	bus
2007/11/15 00:42:26	2007/11/15 00:52:07	bus
2007/11/16 05:03:24	2007/11/16 05:16:07	bus
2007/11/16 07:19:06	2007/11/16 07:39:18	bus
2007/11/20 14:06:54	2007/11/20 14:24:15	subway
2007/11/20 14:34:37	2007/11/20 14:35:36	bus
2007/11/21 00:33:42	2007/11/21 00:48:37	bus
2007/11/21 13:52:01	2007/11/21 14:25:08	subway
2007/11/22 00:23:23	2007/11/22 00:33:41	bus
2007/11/22 14:08:19	2007/11/22 14:23:42	subway
2007/11/22 14:29:02	2007/11/22 14:37:07	bus
2007/11/26 12:42:15	2007/11/26 12:53:12	bus
2007/11/26 13:59:32	2007/11/26 14:13:35	subway
2007/11/26 14:16:42	2007/11/26 14:19:02	bus
2007/11/27 14:07:45	2007/11/27 14:09:53	subway
2007/11/28 01:00:35	2007/11/28 01:12:03	bus
2007/11/28 13:54:53	2007/11/28 14:14:46	subway
2007/11/28 14:18:46	2007/11/28 14:41:57	bus
2007/11/28 14:42:20	2007/11/28 14:44:45	bike
2007/11/29 00:16:10	2007/11/29 00:25:29	bus
2007/11/29 14:54:27	2007/11/29 15:03:36	bike
2007/11/30 02:01:45	2007/11/30 02:10:42	bus
2007/11/30 13:46:46	2007/11/30 14:06:52	subway
2007/11/30 14:15:52	2007/11/30 14:41:12	bike
2007/12/03 14:27:09	2007/12/03 14:37:03	bus
2007/12/04 13:26:47	2007/12/04 13:34:22	bus
2007/12/05 01:33:29	2007/12/05 01:43:21	bus
2007/12/05 13:55:58	2007/12/05 14:15:59	subway
2007/12/05 14:16:58	2007/12/05 14:30:17	bus
2007/12/06 01:44:14	2007/12/06 01:55:47	bus
2007/12/06 01:58:37	2007/12/06 02:19:54	subway
2007/12/14 00:18:15	2007/12/14 01:01:05	subway
2007/12/14 01:01:05	2007/12/14 01:36:21	taxi
2007/12/19 14:31:08	2007/12/19 14:38:59	bus
2007/12/20 00:02:34	2007/12/20 00:12:51	bus
2007/12/20 00:22:46	2007/12/20 00:46:28	subway
2007/12/20 10:49:18	2007/12/20 11:09:56	subway
2007/12/20 11:11:42	2007/12/20 11:41:32	bus
2007/12/21 01:08:25	2007/12/21 01:17:46	bus
2007/12/21 01:20:11	2007/12/21 01:37:20	subway
2007/12/22 00:33:27	2007/12/22 00:48:32	bus
2007/12/22 00:50:17	2007/12/22 01:20:19	subway
2007/12/22 16:25:06	2007/12/22 16:45:53	subway
2007/12/23 03:40:57	2007/12/23 03:46:09	bus
2007/12/23 15:06:55	2007/12/23 15:14:22	bus
2007/12/24 01:05:55	2007/12/24 01:18:46	bus
2007/12/24 01:24:59	2007/12/24 01:44:25	subway
2007/12/24 11:45:20	2007/12/24 11:57:21	bus
2007/12/24 13:20:07	2007/12/24 13:38:14	bus
2007/12/25 01:19:42	2007/12/25 01:33:13	bus
2007/12/25 01:33:13	2007/12/25 01:53:22	subway
2007/12/25 04:16:07	2007/12/25 04:28:39	taxi
2008/01/10 14:12:46	2008/01/10 14:17:51	bus
